# New HSK word list (January 2012) V1.0
# Level 1 to 6 -- 5000 words
# Source : http://cedric.hartland.free.fr
# hsk source list from http://www.davidpetersson.com
# Translations from CEDICT Dictionary (see http://www.mdbg.net)
# Distributed under Creative Commons BY-NC licence
#Level	Identifier	Hanzi	PinYin	Translations
1	80	钱	qián	coin, money, CL:筆|笔[bǐ], unit of weight, one tenth of a tael 兩|两[liǎng],
1	81	前面	qián miàn	ahead, in front, preceding, above,
1	82	请	qǐng	to ask, to invite, please (do sth), to treat (to a meal etc), to request,
1	83	去	qù	to go, to go to (a place), to cause to go or send (sb), to remove, to get rid of, (when used either before or after a verb) to go in order to do sth, to be apart from in space or time, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation), (of a time or an event etc) just passed or elapsed,
1	84	热	rè	to warm up, to heat up, hot (of weather), heat, fervent,
1	85	人	rén	man, person, people, CL:個|个,位[wèi],
1	86	认识	rèn shi	to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition,
1	87	日	rì	sun, day, date, day of the month, abbr. for 日本 Japan,
1	88	三	sān	three, 3,
1	89	商店	shāng diàn	store, shop, CL:家,個|个[gè],
1	90	上	shàng	on top, upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university),
1	91	上午	shàng wǔ	morning, CL:個|个[gè],
1	92	少	shǎo	few, little, lack,
1	93	谁	shéi	who, also pr. [shuí],
1	94	什么	shén me	what?, who?, something, anything,
1	95	十	shí	ten, 10,
1	96	时候	shí hou	time, length of time, moment, period,
1	97	是	shì	is, are, am, yes, to be,
1	98	书	shū	book, letter, CL:本,冊|册,部[bù], see also 書經|书经 Book of History,
1	99	水	shuǐ	water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes,
1	100	水果	shuǐ guǒ	fruit, CL:個|个[gè],
1	101	睡觉	shuì jiào	to go to bed, to sleep,
1	102	说话	shuō huà	to speak, to say, to talk, to gossip, to tell stories, talk, word,
1	103	四	sì	four, 4,
1	104	岁	suì	classifier for years (of age), year, year (of crop harvests),
1	105	他	tā	he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another,
1	106	她	tā	she,
1	107	太	tài	highest, greatest, too (much), very, extremely,
1	108	天气	tiān qì	weather,
1	109	听	tīng	to listen, to hear, to obey, a can (loanword from English "tin"), classifier for canned beverages,
1	110	同学	tóng xué	to study at the same school, fellow student, classmate, CL:位,個|个[gè],
1	111	喂	wèi	to feed,
1	112	我	wǒ	I, me, my,
1	113	我们	wǒ men	we, us, ourselves, our,
1	114	五	wǔ	five, 5,
1	115	喜欢	xǐ huan	to like, to be fond of,
1	116	下	xià	down, downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down,
1	117	下午	xià wǔ	afternoon, CL:個|个[gè], p.m.,
1	118	下雨	xià yǔ	to rain, rainy,
1	119	先生	xiān sheng	teacher, husband, doctor (topolect), CL:位[wèi],
1	120	现在	xiàn zài	now, at present, at the moment, modern, current, nowadays,
1	121	想	xiǎng	to think, to believe, to suppose, to wish, to want, to miss,
1	122	小	xiǎo	small, tiny, few, young,
1	123	小姐	xiǎo jie	young lady, miss, (slang) prostitute, CL:個|个,位[wèi],
1	124	些	xiē	some, few, several, measure word indicating a small amount or small number (greater than 1),
1	125	写	xiě	to write,
1	126	谢谢	xiè xie	to thank, thanks,
1	127	星期	xīng qī	week, CL:個|个[gè], day of the week, Sunday,
1	128	学生	xué sheng	student, schoolchild,
1	129	学习	xué xí	to learn, to study,
1	130	学校	xué xiào	school, CL:所[suǒ],
1	131	一	yī	one, 1, single, a (article), as soon as, entire, whole, all, throughout, "one" radical in Chinese characters (Kangxi radical 1),
1	132	衣服	yī fu	clothes, CL:件,套[tào],
1	133	医生	yī shēng	doctor, CL:個|个,位,名[míng],
1	134	医院	yī yuàn	hospital, CL:所,家,座[zuò],
1	135	椅子	yǐ zi	chair, CL:把,套[tào],
1	136	有	yǒu	to have, there is, there are, to exist, to be,
1	137	月	yuè	moon, month, CL:個|个,輪|轮[lún],
1	138	在	zài	(located) at, (to be) in, to exist, in the middle of doing sth, (indicating an action in progress),
1	139	再见	zài jiàn	goodbye, see you again later,
1	140	怎么	zěn me	variant of 怎麼|怎么[zěn me],
1	141	怎么样	zěn me yàng	how?, how about?, how was it?, how are things?,
1	142	这	zhè	this, these, (commonly pr.  before a classifier, esp. in Beijing),
1	143	中国	Zhōng guó	China, Middle Kingdom,
1	144	中午	zhōng wǔ	noon, midday, CL:個|个[gè],
1	145	住	zhù	to live, to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt),
1	146	桌子	zhuō zi	table, desk, CL:張|张,套[tào],
1	147	字	zì	letter, symbol, character, word, CL:個|个[gè], courtesy or style name traditionally given to males aged 20 in dynastic China,
1	148	昨天	zuó tiān	yesterday,
1	149	坐	zuò	to sit, to take a seat, to take (a bus, airplane etc), to bear fruit, variant of 座[zuò],
1	150	做	zuò	to do, to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance,
2	151	吧	ba	(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.,
2	152	白	bái	white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera,
2	153	百	bǎi	hundred, numerous, all kinds of,
2	154	帮助	bāng zhù	assistance, aid, to help, to assist,
2	155	报纸	bào zhǐ	newspaper, newsprint, CL:份,期,張|张[zhāng],
2	156	比	bǐ	(particle used for comparison and "-er than"), to compare, to contrast, to gesture (with hands), ratio,
2	157	别	bié	to leave, to depart, to separate, to distinguish, to classify, other, another, do not, must not, to pin,
2	158	长	cháng	length, long, forever, always, constantly,
2	159	唱歌	chàng gē	to sing a song,
2	160	出	chū	to go out, to come out, to occur, to produce, to go beyond, to rise, to put forth, to happen, classifier for dramas, plays, operas etc,
2	161	穿	chuān	to bore through, to pierce, to perforate, to penetrate, to pass through, to dress, to wear, to put on, to thread,
2	162	船	chuán	a boat, vessel, ship, CL:條|条,艘,隻|只[zhī],
2	163	次	cì	next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time,
2	164	从	cóng	from, via, passing through, through (a gap), past, ever (followed by negative, meaning never), (formerly pr.  and related to 縱|纵) to follow, to comply with, to obey, to join, to engage in, adopting some mode of action or attitude, follower, retainer, accessory, accomplice, related by common paternal grandfather or earlier ancestor,
2	165	错	cuò	mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver,
2	166	打篮球	dá lán qiú	Play basketball,
2	167	大家	dà jiā	everyone, influential family, great expert,
2	168	但是	dàn shì	but, however,
2	169	到	dào	to (a place), until (a time), up to, to go, to arrive,
2	170	得	de	structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc,
2	171	得	děi	to have to, must, ought to, to need to,
2	172	弟弟	dì di	younger brother, CL:個|个,位[wèi],
2	173	第一	dì yī	first, number one,
2	174	懂	dǒng	to understand, to know,
2	175	房间	fáng jiān	room, CL:間|间[jiān],
2	176	非常	fēi cháng	unusual, extraordinary, extreme, very, exceptional,
2	177	服务员	fú wù yuán	waiter, waitress, attendant, customer service personnel, CL:個|个[gè],
2	178	高	gāo	high, tall, above average, loud, your (honorific),
2	179	告诉	gào su	to tell, to inform, to let know,
2	180	哥哥	gē ge	older brother, CL:個|个,位[wèi],
2	181	给	gěi	to, for, for the benefit of, to give, to allow, to do sth (for sb), (passive particle),
2	182	公共汽车	gōng gòng qì chē	bus, CL:輛|辆,班[bān],
2	183	公斤	gōng jīn	kilogram (kg),
2	184	公司	gōng sī	(business) company, company, firm, corporation, incorporated, CL:家[jiā],
2	185	贵	guì	expensive, noble, your (name), precious,
2	186	还	hái	still, still in progress, still more, yet, even more, in addition, fairly, passably (good), as early as, even, also, else,
2	187	孩子	hái zi	child,
2	188	好吃	hǎo chī	tasty, delicious,
2	189	号	hào	ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people,
2	190	黑	hēi	black, dark, (loanword) to hack,
2	191	红	hóng	red, popular, revolutionary, bonus,
2	192	欢迎	huān yíng	to welcome, welcome,
2	193	还	huán	to pay back, to return,
2	194	回答	huí dá	to reply, to answer, the answer, CL:個|个[gè],
2	195	机场	jī chǎng	airport, airfield, CL:家,處|处[chù],
2	196	鸡蛋	jī dàn	(chicken) egg, hen's egg, CL:個|个,打[dá],
2	197	件	jiàn	item, component, classifier for events, things, clothes etc,
2	198	教室	jiào shì	classroom, CL:間|间[jiān],
2	199	姐姐	jiě jie	older sister, CL:個|个[gè],
2	200	介绍	jiè shào	to introduce (sb to sb), to give a presentation, to present (sb for a job etc), introduction,
2	201	进	jìn	to advance, to enter, to come (or go) into, to receive or admit, to eat or drink, to submit or present, (used after a verb) into, in, to score a goal,
2	202	近	jìn	near, close to, approximately,
2	203	就	jiù	at once, right away, only, just (emphasis), as early as, already, as soon as, then, in that case, as many as, even if, to approach, to move towards, to undertake, to engage in, to suffer, subjected to, to accomplish, to take advantage of, to go with (of foods), with regard to, concerning,
2	204	觉得	jué de	to think, to feel,
2	205	咖啡	kā fēi	coffee, CL:杯[bēi],
2	206	开始	kāi shǐ	to begin, beginning, to start, initial, CL:個|个[gè],
2	207	考试	kǎo shì	to take an exam, exam, CL:次[cì],
2	208	可能	kě néng	might (happen), possible, probable, possibility, probability, maybe, perhaps, CL:個|个[gè],
2	209	可以	kě yǐ	can, may, possible, able to,
2	210	课	kè	subject, course, CL: 門|门[mén], class, lesson, CL:堂,節|节[jié], to levy, tax, form of divination,
2	211	快	kuài	rapid, quick, speed, rate, soon, almost, to make haste, clever, sharp (of knives or wits), forthright, plain-spoken, gratified, pleased, pleasant,
2	212	快乐	kuài lè	happy, merry,
2	213	累	lèi	tired, weary, to strain, to wear out, to work hard,
2	214	离	lí	to leave, to part from, to be away from, (in giving distances) from, without (sth), independent of, one of the Eight Trigrams 八卦, symbolizing fire, ☲,
2	215	两	liǎng	both, two, ounce, some, a few, tael, weight equal to 50 grams,
2	216	路	lù	road, CL:條|条[tiáo], journey, route, line (bus etc), sort, kind,
2	217	旅游	lǚ yóu	trip, journey, tourism, travel, tour,
2	218	卖	mài	to sell, to betray, to spare no effort, to show off or flaunt,
2	219	慢	màn	slow,
2	220	忙	máng	busy, hurriedly, to hurry, to rush,
2	221	每	měi	each, every,
2	222	妹妹	mèi mei	younger sister, fig. younger woman (esp. girl friend or rival), CL:個|个[gè],
2	223	门	mén	gate, door, CL:扇[shàn], gateway, doorway, CL:個|个[gè], opening, valve, switch, way to do something, knack, family, house, (religious) sect, school (of thought), class, category, phylum or division (taxonomy), classifier for large guns, classifier for lessons, subjects, branches of technology,
2	224	男人	nán rén	a man, a male, men, CL:個|个[gè],
2	225	您	nín	you (courteous, as opposed to informal 你),
2	226	牛奶	niú nǎi	cow's milk, CL:瓶,杯[bēi],
2	227	女人	nǚ rén	woman,
2	228	旁边	páng biān	lateral, side, to the side, beside,
2	229	跑步	pǎo bù	to walk quickly, to march, to run,
2	230	便宜	pián yi	small advantages, to let sb off lightly, cheap, inexpensive,
2	231	票	piào	ticket, ballot, bank note, CL:張|张[zhāng], person held for ransom, amateur performance of Chinese opera, classifier for shipments and business transactions (topolect),
2	232	妻子	qī zi	wife, CL:個|个[gè],
2	233	起床	qǐ chuáng	to get out of bed, to get up,
2	234	千	qiān	a swing,
2	235	晴	qíng	clear, fine (weather),
2	236	去年	qù nián	last year,
2	237	让	ràng	to yield, to permit, to let sb do sth, to have sb do sth,
2	238	上班	shàng bān	to go to work, to be on duty, to start work, to go to the office,
2	239	身体	shēn tǐ	(human) body, health, CL:個|个[gè],
2	240	生病	shēng bìng	to fall ill,
2	241	生日	shēng rì	birthday, CL:個|个[gè],
2	242	时间	shí jiān	time, period, CL:段[duàn],
2	243	事情	shì qing	affair, matter, thing, business, CL:件,樁|桩[zhuāng],
2	244	手表	shǒu biǎo	wrist watch, CL:塊|块,隻|只,個|个[gè],
2	245	手机	shǒu jī	cell phone, mobile phone, CL:部,支[zhī],
2	246	送	sòng	to deliver, to carry, to give (as a present), to present (with), to see off, to send,
2	247	所以	suǒ yǐ	therefore, as a result, so,
2	248	它	tā	it,
2	249	踢	tī	to kick, to play (e.g. soccer),
2	250	题	tí	topic, problem for discussion, exam question, subject, to inscribe, to mention, CL:個|个,道[dào],
2	251	跳舞	tiào wǔ	to dance,
2	252	外	wài	outside, in addition, foreign, external,
2	253	完	wán	to finish, to be over, whole, complete, entire,
2	254	玩	wán	toy, sth used for amusement, curio or antique (Taiwan pr. ), to play, to have fun, to trifle with, to keep sth for entertainment,
2	255	晚上	wǎn shang	evening, night, CL:個|个[gè], in the evening,
2	256	为	wèi	variant of 為|为, because of, for, to,
2	257	问	wèn	to ask,
2	258	问题	wèn tí	question, problem, issue, topic, CL:個|个[gè],
2	259	西瓜	xī guā	watermelon, CL:條|条[tiáo],
2	260	希望	xī wàng	to wish for, to desire, hope CL:個|个[gè],
2	261	洗	xǐ	to wash, to bathe, to develop (photo),
2	262	向	xiàng	towards, to face, to turn towards, direction, to support, to side with, shortly before, formerly, always, all along,
2	263	小时	xiǎo shí	hour, CL:個|个[gè],
2	264	笑	xiào	laugh, smile, CL:個|个[gè],
2	265	新	xīn	new, newly, meso- (chemistry),
2	266	姓	xìng	family name, surname, name, CL:個|个[gè],
